ID,age,income,saving,segment
82,45,52800,24000,C 中产
83,16,8000,500,A 学生
84,42,62200,22700,C 中产
85,24,41200,11500,B 初入职场
86,40,37900,11900,B 初入职场
87,27,41500,13300,B 初入职场
88,31,52000,15300,B 初入职场
89,19,25800,6100,A 学生
90,20,22500,0,A 学生
91,52,105000,38100,D 高管
92,22,40300,13000,B 初入职场
93,26,49100,14200,B 初入职场
94,51,79500,36300,D 高管
95,16,21800,3900,A 学生
96,17,20600,1400,A 学生
97,39,66000,24000,C 中产
98,48,49500,22000,C 中产
99,59,60300,69700,E 退休
100,30,29800,9600,B 初入职场
101,54,79700,30000,D 高管
102,22,38200,11200,B 初入职场
103,30,26800,3700,A 学生
104,57,95600,48500,D 高管
105,60,49500,66100,E 退休
106,51,79300,62300,D 高管
107,35,60100,34500,C 中产
108,17,20600,4600,A 学生
109,44,72800,48400,D 高管
110,26,36600,8700,B 初入职场
111,46,54800,28500,C 中产
112,61,52800,85500,E 退休
113,33,48100,16600,B 初入职场
114,61,51400,63600,E 退休
115,62,60600,74900,E 退休
116,22,42200,11900,B 初入职场
117,41,59900,23900,C 中产
118,66,44000,80700,E 退休
119,48,89300,76000,D 高管
120,40,72100,52100,D 高管
121,27,22100,4700,A 学生
122,31,44900,27500,C 中产
123,40,86100,46400,D 高管
124,38,63100,28300,C 中产
125,35,56600,18300,C 中产
126,56,41800,81900,E 退休
127,16,20000,600,A 学生
128,37,67900,18000,C 中产
129,48,83300,45700,D 高管
130,63,49100,80400,E 退休
131,40,46000,26700,C 中产
132,30,30300,15400,B 初入职场
133,40,52800,29800,C 中产
134,31,37500,10800,B 初入职场
135,64,59100,72200,E 退休
136,58,48500,62000,E 退休
137,37,50700,33300,C 中产
138,47,61600,22000,C 中产
139,45,75000,35000,C 中产
140,25,12300,5800,A 学生
141,33,29500,8000,B 初入职场
142,36,56300,31900,C 中产
143,40,59500,25300,C 中产
144,42,73500,27100,C 中产
145,50,65100,50700,D 高管
146,56,59500,72000,E 退休
147,39,62500,20400,C 中产
148,31,22800,17200,B 初入职场
149,21,23600,3600,A 学生
150,35,26800,20400,B 初入职场
151,57,44800,90100,E 退休
152,25,39700,6400,B 初入职场
153,60,67000,38100,D 高管
154,38,52600,28700,C 中产
155,61,47900,95000,E 退休
156,63,58700,72900,E 退休
157,53,79400,46500,D 高管
158,34,32300,12500,B 初入职场
159,52,86800,66200,D 高管
160,25,25000,7100,B 初入职场
161,49,77700,62400,D 高管
162,45,47400,33300,C 中产
163,23,19700,900,A 学生
164,16,9800,1600,A 学生
165,19,16300,4000,A 学生
166,29,40500,18200,C 中产
167,68,48400,76800,E 退休
168,67,43400,84200,E 退休
169,43,54800,32500,C 中产
170,20,19800,1400,A 学生
171,34,38700,11400,B 初入职场
172,41,82600,63500,D 高管
173,64,55700,94600,E 退休
174,23,17100,4600,A 学生
175,40,36000,14500,B 初入职场
176,64,56500,71700,E 退休
177,43,70000,20700,C 中产
178,16,26400,500,A 学生
179,67,45900,81700,E 退休
180,36,56700,41400,C 中产
181,51,74100,63700,D 高管
182,24,16600,4600,A 学生
183,61,62000,76600,E 退休
184,59,63600,56200,E 退休
185,40,35900,8700,B 初入职场
186,67,52200,76300,E 退休
187,65,60400,64300,E 退休
188,33,38600,16400,C 中产
189,28,35600,13700,B 初入职场
190,23,22100,6700,A 学生
191,26,34100,9800,B 初入职场
192,35,56500,29900,C 中产
193,49,82100,56400,D 高管
194,54,100800,48700,D 高管
195,58,55000,58800,E 退休
196,20,30800,3100,A 学生
197,60,64400,68300,E 退休
198,60,48200,73300,E 退休
199,24,22300,400,A 学生
200,56,69000,52800,D 高管
201,21,25700,4200,A 学生
202,38,55000,16800,C 中产
203,22,15100,1600,A 学生
204,56,97900,40300,D 高管
205,39,51400,23400,C 中产
206,48,92900,60300,D 高管
207,60,63600,88500,E 退休
208,49,43400,21900,C 中产
209,25,39000,15000,B 初入职场
210,35,57600,31800,C 中产
211,39,65500,39800,C 中产
212,66,41200,78200,E 退休
213,20,22500,3200,A 学生
214,28,24900,11100,B 初入职场
215,65,48500,63900,E 退休
216,29,25400,11900,B 初入职场
217,16,18900,4900,A 学生
218,66,60500,81900,E 退休
219,30,56100,31500,C 中产
220,26,10100,1100,A 学生
221,41,64800,29400,C 中产
222,71,40100,87900,E 退休
223,51,90200,58900,D 高管
224,48,61000,21600,C 中产
225,16,16400,3400,A 学生
226,58,47900,54800,E 退休
227,26,33300,13200,B 初入职场
228,33,34500,14400,B 初入职场
229,45,80700,50500,D 高管
230,52,80400,42000,D 高管
231,23,18400,4300,A 学生
232,64,53400,69500,E 退休
233,61,44700,75100,E 退休
234,70,52200,64500,E 退休
235,48,84200,70300,D 高管
236,16,8000,1200,A 学生
237,27,21200,6800,A 学生
238,28,27100,15900,B 初入职场
239,63,48300,88000,E 退休
240,46,81500,76100,D 高管
241,67,53600,62700,E 退休
242,60,86700,41500,D 高管
243,36,57300,31800,C 中产
244,20,14400,1400,A 学生
245,54,82700,40000,D 高管
246,40,62400,24600,C 中产
247,50,88500,70000,D 高管
248,52,78600,48700,D 高管
249,59,53700,64400,E 退休
250,30,11600,200,A 学生
251,35,19400,12900,B 初入职场
252,25,35000,3700,A 学生
253,44,62700,22000,C 中产
254,21,18700,1200,A 学生
255,41,40700,38400,C 中产
256,22,25100,10000,B 初入职场
257,16,19500,1500,A 学生
258,32,27600,12400,B 初入职场
259,48,76900,63600,D 高管
260,26,17300,3600,A 学生
261,36,23500,8400,B 初入职场
262,19,20400,2800,A 学生
263,56,41300,76700,E 退休
264,16,31000,3900,A 学生
265,33,31500,14500,B 初入职场
266,34,61900,16600,C 中产
267,65,51700,83800,E 退休
268,49,69000,38700,C 中产
269,70,47800,66400,E 退休
270,66,56900,73800,E 退休
271,27,18700,3600,A 学生
272,24,8000,1200,A 学生
273,41,70200,23400,C 中产
274,47,97000,68100,D 高管
275,63,59900,82100,E 退休
276,49,69600,73000,D 高管
277,42,52400,21700,C 中产
278,24,28000,2500,A 学生
279,24,21800,2500,A 学生
280,47,82600,68200,D 高管
281,65,54200,63600,E 退休
282,21,22500,5600,A 学生
283,31,72700,16300,C 中产
284,65,54100,64800,E 退休
285,49,81400,30100,D 高管
286,67,57500,74700,E 退休
287,36,48500,22200,C 中产
288,39,47500,27900,C 中产
289,41,64600,27600,C 中产
290,30,31900,9700,B 初入职场
291,33,23600,15200,B 初入职场
292,54,71900,62100,D 高管
293,47,71000,21300,C 中产
294,65,50300,61800,E 退休
295,29,18500,3500,A 学生
296,52,64200,30000,D 高管
297,34,42300,16400,B 初入职场
298,30,33800,6200,B 初入职场
299,59,50500,68200,E 退休
300,33,47700,13000,B 初入职场
