src,flight,scheduled_dept,actual_dept,dept_gate,scheduled_arrival,actual_arrival,arrival_gate
flightstats,2011-12-01-UA-3925-IAD-ORF,2011-12-01 8:41 AM,2011-12-01 8:42 AM,,2011-12-01 9:54 AM,2011-12-01 9:43 AM,
quicktrip,2011-12-01-UA-3925-IAD-ORF,2011-12-01 8:41 AM,2011-12-01 8:42 AM,,2011-12-01 9:54 AM,2011-12-01 9:43 AM,
flightview,2011-12-01-UA-3925-IAD-ORF,,9:01 AMDec 01,,,9:43 AMDec 01,
panynj,2011-12-01-UA-3925-IAD-ORF,,9:01 AMDec 01,,,9:43 AMDec 01,
gofox,2011-12-01-UA-3925-IAD-ORF,,9:01 AMDec 01,,,9:43 AMDec 01,
foxbusiness,2011-12-01-UA-3925-IAD-ORF,,9:01 AMDec 01,,,9:43 AMDec 01,
allegiantair,2011-12-01-UA-3925-IAD-ORF,,9:01 AMDec 01,,,9:43 AMDec 01,
boston,2011-12-01-UA-3925-IAD-ORF,,9:01 AMDec 01,,,9:40 AMDec 01,
travelocity,2011-12-01-UA-3925-IAD-ORF,Dec 01 - Not Available,Dec 01 - 9:00am,A2G,Dec 01 - Not Available,Dec 01 - 9:43am,CHK
orbitz,2011-12-01-UA-3925-IAD-ORF,8:41aDec 1,, -,9:54aDec 1,, -
weather,2011-12-01-UA-3925-IAD-ORF,2011-12-01 08:41 AM,,,2011-12-01 09:54 AM,,
ifly,2011-12-01-UA-3925-IAD-ORF,2011-12-01 8:41 AM,2011-12-01 8:42 AM,,2011-12-01 9:54 AM,2011-12-01 9:43 AM,
usatoday,2011-12-01-UA-3925-IAD-ORF,2011-12-01 08:41 AM,,,2011-12-01 09:54 AM,,
mytripandmore,2011-12-01-UA-3925-IAD-ORF,8:41aDec 1,, -,9:54aDec 1,, -
flightwise,2011-12-01-UA-3925-IAD-ORF,2011-12-01 08:41AM EST,2011-12-01 08:51AM EST, A2A ,2011-12-01 09:34AM EST,2011-12-01 09:44AM EST,
flightarrival,2011-12-01-UA-3925-IAD-ORF,2011-12-01 08:41 AM,,,2011-12-01 09:54 AM,,
ua,2011-12-01-UA-382-IAD-LAX,Thu- Dec 1 12:30 PM,Thu- Dec 1 12:35 PM            Delayed,D1,Thu- Dec 1 3:19 PM,Thu- Dec 1 3:11 PM,75B
ua,2011-12-01-UA-382-IAD-LAX,Thu- Dec 1 12:30 PM,Thu- Dec 1 12:35 PM            Delayed,D1,Thu- Dec 1 3:19 PM,Thu- Dec 1 3:21 PM,75B
flightexplorer,2011-12-01-UA-382-IAD-LAX,,12/1/2011 12:55PM EST,,,12/1/2011 3:12PM PST,
flightexplorer,2011-12-01-UA-382-IAD-LAX,,12/1/2011 12:55PM EST,,,12/1/2011 3:07PM PST,
airtravelcenter,2011-12-01-UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:12 PM (-08:00),
airtravelcenter,2011-12-01-UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:09 PM (-08:00),
myrateplan,2011-12-01-UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:12 PM (-08:00),
myrateplan,2011-12-01-UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:09 PM (-08:00),
helloflight,2011-12-01-UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:12 PM (-08:00),
helloflight,2011-12-01-UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:09 PM (-08:00),
flytecomm,2011-12-01-UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:12 PM (-08:00),
flytecomm,2011-12-01-UA-382-IAD-LAX,,12/1/11 12:56 PM (-05:00),,,12/1/11 3:09 PM (-08:00),
flightaware,2011-12-01-UA-382-IAD-LAX,2011-12-01 12:30PM EST,2011-12-01 12:56PM EST, D1 ,2011-12-01 02:48PM PST,2011-12-01 03:15PM PST, 75B 
flightaware,2011-12-01-UA-382-IAD-LAX,2011-12-01 12:30PM EST,2011-12-01 12:56PM EST, D1 ,2011-12-01 02:48PM PST,2011-12-01 03:07PM PST, 75B 
wunderground,2011-12-01-UA-382-IAD-LAX,2011-12-01 12:30PM EST,2011-12-01 12:56PM EST, D1 ,2011-12-01 02:48PM PST,2011-12-01 03:15PM PST, 75B 
wunderground,2011-12-01-UA-382-IAD-LAX,2011-12-01 12:30PM EST,2011-12-01 12:56PM EST, D1 ,2011-12-01 02:48PM PST,2011-12-01 03:07PM PST, 75B 
flights,2011-12-01-UA-382-IAD-LAX,,2011-12-01 12:35 PM,D1,,2011-12-01 03:19 PM,75B
flights,2011-12-01-UA-382-IAD-LAX,,2011-12-01 12:35 PM,D1,,2011-12-01 03:21 PM,75B
businesstravellogue,2011-12-01-UA-382-IAD-LAX,,2011-12-01 12:35 PM,D1,,2011-12-01 03:19 PM,75B
businesstravellogue,2011-12-01-UA-382-IAD-LAX,,2011-12-01 12:35 PM,D1,,2011-12-01 03:21 PM,75B
flylouisville,2011-12-01-UA-382-IAD-LAX,,2011-12-01 12:35 PM,D1,,2011-12-01 03:19 PM,75B
flylouisville,2011-12-01-UA-382-IAD-LAX,,2011-12-01 12:35 PM,D1,,2011-12-01 03:21 PM,75B
flightstats,2011-12-01-UA-382-IAD-LAX,2011-12-01 12:30 PM,2011-12-01 12:35 PM,,2011-12-01 3:19 PM,2011-12-01 3:21 PM,
quicktrip,2011-12-01-UA-382-IAD-LAX,2011-12-01 12:30 PM,2011-12-01 12:35 PM,,2011-12-01 3:19 PM,2011-12-01 3:21 PM,
flightview,2011-12-01-UA-382-IAD-LAX,,12:56 PMDec 01,,,3:11 PMDec 01,
flightview,2011-12-01-UA-382-IAD-LAX,,12:56 PMDec 01,,,3:21 PMDec 01,
panynj,2011-12-01-UA-382-IAD-LAX,,12:56 PMDec 01,,,3:11 PMDec 01,
panynj,2011-12-01-UA-382-IAD-LAX,,12:56 PMDec 01,,,3:21 PMDec 01,
gofox,2011-12-01-UA-382-IAD-LAX,,12:56 PMDec 01,,,3:11 PMDec 01,
gofox,2011-12-01-UA-382-IAD-LAX,,12:56 PMDec 01,,,3:21 PMDec 01,
foxbusiness,2011-12-01-UA-382-IAD-LAX,,12:56 PMDec 01,,,3:11 PMDec 01,
foxbusiness,2011-12-01-UA-382-IAD-LAX,,12:56 PMDec 01,,,3:21 PMDec 01,
allegiantair,2011-12-01-UA-382-IAD-LAX,,12:56 PMDec 01,,,3:11 PMDec 01,
allegiantair,2011-12-01-UA-382-IAD-LAX,,12:56 PMDec 01,,,3:21 PMDec 01,
boston,2011-12-01-UA-382-IAD-LAX,,12:56 PMDec 01,,,3:07 PMDec 01,
boston,2011-12-01-UA-382-IAD-LAX,,12:56 PMDec 01,,,3:20 PMDec 01,
orbitz,2011-12-01-UA-382-IAD-LAX,12:30pDec 1,12:35pDec 1, D1,3:19pDec 1,3:21pDec 1, 75B
orbitz,2011-12-01-UA-382-IAD-LAX,12:30pDec 1,12:35pDec 1, D1,3:03pDec 1,, 75B
iad,2011-12-01-UA-382-IAD-LAX,2011-12-01 12:30 ,2011-12-01 12:30 ,,,,
usatoday,2011-12-01-UA-382-IAD-LAX,,12:56 PMDec 01,,,3:20 PMDec 01,
mytripandmore,2011-12-01-UA-382-IAD-LAX,12:30pDec 1,12:35pDec 1, D1,3:03pDec 1,, 75B
flightarrival,2011-12-01-UA-382-IAD-LAX,,12:56 PMDec 01,,,3:20 PMDec 01,
aa,2011-12-01-AA-222-LAX-BOS,12/01/2011 07:10 AM,12/01/2011 07:31 AM,47A,12/01/2011 03:30 PM,12/01/2011 03:14 PM,B36
flightexplorer,2011-12-01-AA-222-LAX-BOS,,12/1/2011 7:32AM PST,,,12/1/2011 3:12PM EST,
airtravelcenter,2011-12-01-AA-222-LAX-BOS,,12/1/11 7:32 AM (-08:00),,,12/1/11 3:12 PM (-05:00),
myrateplan,2011-12-01-AA-222-LAX-BOS,,12/1/11 7:32 AM (-08:00),,,12/1/11 3:12 PM (-05:00),
helloflight,2011-12-01-AA-222-LAX-BOS,,12/1/11 7:32 AM (-08:00),,,12/1/11 3:12 PM (-05:00),
flytecomm,2011-12-01-AA-222-LAX-BOS,,12/1/11 7:32 AM (-08:00),,,12/1/11 3:12 PM (-05:00),
flightaware,2011-12-01-AA-222-LAX-BOS,2011-12-01 07:10AM PST,2011-12-01 07:32AM PST, 47A ,2011-12-01 02:52PM EST,2011-12-01 03:12PM EST, B36 
wunderground,2011-12-01-AA-222-LAX-BOS,2011-12-01 07:10AM PST,2011-12-01 07:32AM PST, 47A ,2011-12-01 02:52PM EST,2011-12-01 03:12PM EST, B36 
flights,2011-12-01-AA-222-LAX-BOS,07:10 AM  Thu 01-Dec-2011,07:31 AM  Thu 01-Dec-2011,47A,03:30 PM  Thu 01-Dec-2011,03:14 PM  Thu 01-Dec-2011,B36
businesstravellogue,2011-12-01-AA-222-LAX-BOS,07:10 AM  Thu 01-Dec-2011,07:31 AM  Thu 01-Dec-2011,47A,03:30 PM  Thu 01-Dec-2011,03:14 PM  Thu 01-Dec-2011,B36
flylouisville,2011-12-01-AA-222-LAX-BOS,07:10 AM  Thu 01-Dec-2011,07:31 AM  Thu 01-Dec-2011,47A,03:30 PM  Thu 01-Dec-2011,03:14 PM  Thu 01-Dec-2011,B36
flightstats,2011-12-01-AA-222-LAX-BOS,2011-12-01 7:10 AM,2011-12-01 7:31 AM,,2011-12-01 3:30 PM,2011-12-01 3:14 PM,
quicktrip,2011-12-01-AA-222-LAX-BOS,2011-12-01 7:10 AM,2011-12-01 7:31 AM,,2011-12-01 3:30 PM,2011-12-01 3:14 PM,
world-flight-tracker,2011-12-01-AA-222-LAX-BOS,2011-12-01 7:10 AM,2011-12-01 7:31 AM,,2011-12-01 3:30 PM,2011-12-01 3:14 PM,
flightview,2011-12-01-AA-222-LAX-BOS,7:10 AM- Dec 01,7:32 AM- Dec 01,Terminal T4 - 47A,3:30 PM- Dec 01,3:14 PM- Dec 01,Terminal B - B36
panynj,2011-12-01-AA-222-LAX-BOS,7:10 AM- Dec 01,7:32 AM- Dec 01,Terminal T4 - 47A,3:30 PM- Dec 01,3:14 PM- Dec 01,Terminal B - B36
gofox,2011-12-01-AA-222-LAX-BOS,7:10 AM- Dec 01,7:32 AM- Dec 01,,3:30 PM- Dec 01,3:14 PM- Dec 01,
foxbusiness,2011-12-01-AA-222-LAX-BOS,7:10 AM- Dec 01,7:32 AM- Dec 01,Terminal T4 - 47A,3:30 PM- Dec 01,3:14 PM- Dec 01,Terminal B - B36
allegiantair,2011-12-01-AA-222-LAX-BOS,7:10 AM- Dec 01,7:32 AM- Dec 01,Terminal T4 - 47A,3:30 PM- Dec 01,3:14 PM- Dec 01,Terminal B - B36
boston,2011-12-01-AA-222-LAX-BOS,7:10 AM- Dec 01,7:32 AM- Dec 01,,3:30 PM- Dec 01,3:09 PM- Dec 01,
travelocity,2011-12-01-AA-222-LAX-BOS,Dec 01 - 7:10am,Dec 01 - 7:05am,47A/T4,Dec 01 - 3:30pm,Dec 01 - 3:14pm,B36
orbitz,2011-12-01-AA-222-LAX-BOS,7:10aDec 1,7:05aDec 1, 47A,3:30pDec 1,3:14pDec 1, B36
weather,2011-12-01-AA-222-LAX-BOS,2011-12-01 07:10 AM,,,2011-12-01 03:30 PM,,
flightarrival,2011-12-01-AA-222-LAX-BOS,7:10 AM- Dec 01,7:32 AM- Dec 01,,3:30 PM- Dec 01,3:09 PM- Dec 01,
aa,2011-12-01-AA-3468-CVG-MIA,12/01/2011 07:00 AM,12/01/2011 07:25 AM,5,12/01/2011 09:55 AM,12/01/2011 09:45 AM,D60
flightexplorer,2011-12-01-AA-3468-CVG-MIA,,12/1/2011 7:25AM EST,,,12/1/2011 9:29AM EST,
airtravelcenter,2011-12-01-AA-3468-CVG-MIA,,12/1/11 7:25 AM (-05:00),,,12/1/11 9:29 AM (-05:00),
myrateplan,2011-12-01-AA-3468-CVG-MIA,,12/1/11 7:25 AM (-05:00),,,12/1/11 9:29 AM (-05:00),
helloflight,2011-12-01-AA-3468-CVG-MIA,,12/1/11 7:25 AM (-05:00),,,12/1/11 9:29 AM (-05:00),
flytecomm,2011-12-01-AA-3468-CVG-MIA,,12/1/11 7:25 AM (-05:00),,,12/1/11 9:29 AM (-05:00),
flightaware,2011-12-01-AA-3468-CVG-MIA,2011-12-01 07:00AM EST,2011-12-01 07:25AM EST, 5 ,2011-12-01 09:45AM EST,2011-12-01 09:29AM EST, D60 
wunderground,2011-12-01-AA-3468-CVG-MIA,2011-12-01 07:00AM EST,2011-12-01 07:25AM EST, 5 ,2011-12-01 09:45AM EST,2011-12-01 09:29AM EST, D60 
flights,2011-12-01-AA-3468-CVG-MIA,07:00 AM  Thu 01-Dec-2011,07:25 AM  Thu 01-Dec-2011,5,09:55 AM  Thu 01-Dec-2011,09:45 AM  Thu 01-Dec-2011,D60
businesstravellogue,2011-12-01-AA-3468-CVG-MIA,07:00 AM  Thu 01-Dec-2011,07:25 AM  Thu 01-Dec-2011,5,09:55 AM  Thu 01-Dec-2011,09:45 AM  Thu 01-Dec-2011,D60
flylouisville,2011-12-01-AA-3468-CVG-MIA,07:00 AM  Thu 01-Dec-2011,07:25 AM  Thu 01-Dec-2011,5,09:55 AM  Thu 01-Dec-2011,09:45 AM  Thu 01-Dec-2011,D60
flightstats,2011-12-01-AA-3468-CVG-MIA,2011-12-01 7:00 AM,2011-12-01 7:25 AM,,2011-12-01 9:55 AM,2011-12-01 9:45 AM,
quicktrip,2011-12-01-AA-3468-CVG-MIA,2011-12-01 7:00 AM,2011-12-01 7:25 AM,,2011-12-01 9:55 AM,2011-12-01 9:45 AM,
world-flight-tracker,2011-12-01-AA-3468-CVG-MIA,2011-12-01 7:00 AM,2011-12-01 7:25 AM,,2011-12-01 9:55 AM,2011-12-01 9:45 AM,
flightview,2011-12-01-AA-3468-CVG-MIA,7:00 AM- Dec 01,7:25 AM- Dec 01,Terminal 2,9:55 AM- Dec 01,9:45 AM- Dec 01,Terminal D - D60
panynj,2011-12-01-AA-3468-CVG-MIA,7:00 AM- Dec 01,7:25 AM- Dec 01,Terminal 2,9:55 AM- Dec 01,9:45 AM- Dec 01,Terminal D - D60
gofox,2011-12-01-AA-3468-CVG-MIA,7:00 AM- Dec 01,7:25 AM- Dec 01,,9:55 AM- Dec 01,9:45 AM- Dec 01,
foxbusiness,2011-12-01-AA-3468-CVG-MIA,7:00 AM- Dec 01,7:25 AM- Dec 01,Terminal 2,9:55 AM- Dec 01,9:45 AM- Dec 01,Terminal D - D60
allegiantair,2011-12-01-AA-3468-CVG-MIA,7:00 AM- Dec 01,7:25 AM- Dec 01,Terminal 2,9:55 AM- Dec 01,9:45 AM- Dec 01,Terminal D - D60
boston,2011-12-01-AA-3468-CVG-MIA,7:00 AM- Dec 01,7:25 AM- Dec 01,,9:55 AM- Dec 01,9:42 AM- Dec 01,
travelocity,2011-12-01-AA-3468-CVG-MIA,Dec 01 - 7:00am,Dec 01 - 7:04am,5,Dec 01 - 9:55am,Dec 01 - 9:45am,D60
orbitz,2011-12-01-AA-3468-CVG-MIA,7:00aDec 1,7:04aDec 1, 5,9:55aDec 1,9:45aDec 1, D60
weather,2011-12-01-AA-3468-CVG-MIA,2011-12-01 07:00 AM,,,2011-12-01 09:55 AM,,
ifly,2011-12-01-AA-3468-CVG-MIA,2011-12-01 7:00 AM,2011-12-01 7:25 AM,,2011-12-01 9:55 AM,2011-12-01 9:45 AM,
usatoday,2011-12-01-AA-3468-CVG-MIA,2011-12-01 7:00 AM,2011-12-01 7:25 AM,,2011-12-01 9:55 AM,2011-12-01 9:45 AM,
mytripandmore,2011-12-01-AA-3468-CVG-MIA,7:00aDec 1,7:04aDec 1, 5,9:55aDec 1,9:45aDec 1, D60
flightarrival,2011-12-01-AA-3468-CVG-MIA,2011-12-01 07:00 AM,,,2011-12-01 09:55 AM,,
aa,2011-12-01-AA-3842-MSP-ORD,12/01/2011 06:00 AM,12/01/2011 06:56 AM,E14,12/01/2011 07:30 AM,12/01/2011 07:51 AM,G8
flightexplorer,2011-12-01-AA-3842-MSP-ORD,,12/1/2011 6:57AM CST,,,12/1/2011 7:49AM CST,
airtravelcenter,2011-12-01-AA-3842-MSP-ORD,,12/1/11 6:57 AM (-06:00),,,12/1/11 7:49 AM (-06:00),
myrateplan,2011-12-01-AA-3842-MSP-ORD,,12/1/11 6:57 AM (-06:00),,,12/1/11 7:49 AM (-06:00),
helloflight,2011-12-01-AA-3842-MSP-ORD,,12/1/11 6:57 AM (-06:00),,,12/1/11 7:49 AM (-06:00),
flytecomm,2011-12-01-AA-3842-MSP-ORD,,12/1/11 6:57 AM (-06:00),,,12/1/11 7:49 AM (-06:00),
flightaware,2011-12-01-AA-3842-MSP-ORD,2011-12-01 06:00AM CST,2011-12-01 06:56AM CST, E14 ,2011-12-01 06:50AM CST,2011-12-01 07:49AM CST, G8 
wunderground,2011-12-01-AA-3842-MSP-ORD,2011-12-01 06:00AM CST,2011-12-01 06:56AM CST, E14 ,2011-12-01 06:50AM CST,2011-12-01 07:49AM CST, G8 
flights,2011-12-01-AA-3842-MSP-ORD,06:00 AM  Thu 01-Dec-2011,06:56 AM  Thu 01-Dec-2011,E14,07:30 AM  Thu 01-Dec-2011,07:51 AM  Thu 01-Dec-2011,G8
businesstravellogue,2011-12-01-AA-3842-MSP-ORD,06:00 AM  Thu 01-Dec-2011,06:56 AM  Thu 01-Dec-2011,E14,07:30 AM  Thu 01-Dec-2011,07:51 AM  Thu 01-Dec-2011,G8
flylouisville,2011-12-01-AA-3842-MSP-ORD,06:00 AM  Thu 01-Dec-2011,06:56 AM  Thu 01-Dec-2011,E14,07:30 AM  Thu 01-Dec-2011,07:51 AM  Thu 01-Dec-2011,G8
flightstats,2011-12-01-AA-3842-MSP-ORD,2011-12-01 6:00 AM,2011-12-01 6:56 AM,,2011-12-01 7:30 AM,2011-12-01 7:51 AM,
quicktrip,2011-12-01-AA-3842-MSP-ORD,2011-12-01 6:00 AM,2011-12-01 6:56 AM,,2011-12-01 7:30 AM,2011-12-01 7:51 AM,
world-flight-tracker,2011-12-01-AA-3842-MSP-ORD,2011-12-01 6:00 AM,2011-12-01 6:56 AM,,2011-12-01 7:30 AM,2011-12-01 7:51 AM,
flightview,2011-12-01-AA-3842-MSP-ORD,6:00 AM- Dec 01,6:57 AM- Dec 01,E14,7:30 AM- Dec 01,7:51 AM- Dec 01,G8
panynj,2011-12-01-AA-3842-MSP-ORD,6:00 AM- Dec 01,6:57 AM- Dec 01,E14,7:30 AM- Dec 01,7:51 AM- Dec 01,G8
gofox,2011-12-01-AA-3842-MSP-ORD,6:00 AM- Dec 01,6:57 AM- Dec 01,,7:30 AM- Dec 01,7:51 AM- Dec 01,
foxbusiness,2011-12-01-AA-3842-MSP-ORD,6:00 AM- Dec 01,6:57 AM- Dec 01,E14,7:30 AM- Dec 01,7:51 AM- Dec 01,G8
allegiantair,2011-12-01-AA-3842-MSP-ORD,6:00 AM- Dec 01,6:57 AM- Dec 01,E14,7:30 AM- Dec 01,7:51 AM- Dec 01,G8
boston,2011-12-01-AA-3842-MSP-ORD,6:00 AM- Dec 01,6:57 AM- Dec 01,,7:30 AM- Dec 01,7:51 AM- Dec 01,
travelocity,2011-12-01-AA-3842-MSP-ORD,Dec 01 - 6:00am,Dec 01 - 5:59am,E14,Dec 01 - 7:30am,Dec 01 - 7:51am,G8/T3
orbitz,2011-12-01-AA-3842-MSP-ORD,6:00aDec 1,5:59aDec 1, E14,7:30aDec 1,7:51aDec 1, G8
weather,2011-12-01-AA-3842-MSP-ORD,2011-12-01 06:00 AM,,,2011-12-01 07:30 AM,,
ord,2011-12-01-AA-3842-MSP-ORD,2011-12-01 6:00 AM,,E14,2011-12-01 7:30 AM,,G8
ifly,2011-12-01-AA-3842-MSP-ORD,2011-12-01 6:00 AM,2011-12-01 6:56 AM,,2011-12-01 7:30 AM,2011-12-01 7:51 AM,
mytripandmore,2011-12-01-AA-3842-MSP-ORD,6:00aDec 1,5:59aDec 1, E14,7:30aDec 1,7:51aDec 1, G8
flightwise,2011-12-01-AA-3842-MSP-ORD,2011-12-01 06:00AM CST,2011-12-01 06:56AM CST, E14 ,2011-12-01 06:50AM CST,2011-12-01 07:49AM CST, G8 
aa,2011-12-01-AA-518-MIA-JFK,12/01/2011 06:40 AM,12/01/2011 06:54 AM,D22,12/01/2011 09:25 AM,12/01/2011 09:28 AM,6
airtravelcenter,2011-12-01-AA-518-MIA-JFK,,12/1/11 6:54 AM (-05:00),,,12/1/11 9:14 AM (-05:00),
myrateplan,2011-12-01-AA-518-MIA-JFK,,12/1/11 6:54 AM (-05:00),,,12/1/11 9:14 AM (-05:00),
helloflight,2011-12-01-AA-518-MIA-JFK,,12/1/11 6:54 AM (-05:00),,,12/1/11 9:14 AM (-05:00),
flytecomm,2011-12-01-AA-518-MIA-JFK,,12/1/11 6:54 AM (-05:00),,,12/1/11 9:14 AM (-05:00),
flightaware,2011-12-01-AA-518-MIA-JFK,2011-12-01 06:40AM EST,2011-12-01 06:54AM EST, D22 ,2011-12-01 08:54AM EST,2011-12-01 09:14AM EST, 6 
wunderground,2011-12-01-AA-518-MIA-JFK,2011-12-01 06:40AM EST,2011-12-01 06:54AM EST, D22 ,2011-12-01 08:54AM EST,2011-12-01 09:14AM EST, 6 
flights,2011-12-01-AA-518-MIA-JFK,06:40 AM  Thu 01-Dec-2011,06:54 AM  Thu 01-Dec-2011,D22,09:25 AM  Thu 01-Dec-2011,09:28 AM  Thu 01-Dec-2011,B6
businesstravellogue,2011-12-01-AA-518-MIA-JFK,06:40 AM  Thu 01-Dec-2011,06:54 AM  Thu 01-Dec-2011,D22,09:25 AM  Thu 01-Dec-2011,09:28 AM  Thu 01-Dec-2011,B6
flylouisville,2011-12-01-AA-518-MIA-JFK,06:40 AM  Thu 01-Dec-2011,06:54 AM  Thu 01-Dec-2011,D22,09:25 AM  Thu 01-Dec-2011,09:28 AM  Thu 01-Dec-2011,B6
flightstats,2011-12-01-AA-518-MIA-JFK,2011-12-01 6:40 AM,2011-12-01 6:54 AM,,2011-12-01 9:25 AM,2011-12-01 9:28 AM,
quicktrip,2011-12-01-AA-518-MIA-JFK,2011-12-01 6:40 AM,2011-12-01 6:54 AM,,2011-12-01 9:25 AM,2011-12-01 9:28 AM,
world-flight-tracker,2011-12-01-AA-518-MIA-JFK,2011-12-01 6:40 AM,2011-12-01 6:54 AM,,2011-12-01 9:25 AM,2011-12-01 9:28 AM,
flightview,2011-12-01-AA-518-MIA-JFK,6:40 AM- Dec 01,6:54 AM- Dec 01,Terminal D - D22,9:25 AM- Dec 01,9:28 AM- Dec 01,Terminal 8 - 6
panynj,2011-12-01-AA-518-MIA-JFK,6:40 AM- Dec 01,6:54 AM- Dec 01,Terminal D - D22,9:25 AM- Dec 01,9:28 AM- Dec 01,Terminal 8 - 6
gofox,2011-12-01-AA-518-MIA-JFK,6:40 AM- Dec 01,6:54 AM- Dec 01,,9:25 AM- Dec 01,9:28 AM- Dec 01,
foxbusiness,2011-12-01-AA-518-MIA-JFK,6:40 AM- Dec 01,6:54 AM- Dec 01,Terminal D - D22,9:25 AM- Dec 01,9:28 AM- Dec 01,Terminal 8 - 6
